"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"-4","RID","ADNIMERGE","Key ADNI tables merged into one table","-4","Participant roster ID","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","The 4 digit roster ID (RID) should be used to merge data","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2013-01-22 14:36:06.0"
"-4","PTID","ADNIMERGE","Key ADNI tables merged into one table","-4","Participant ID","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","3 digit site number and 4 digit roster ID (RID) separated by '_S_'","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2013-01-22 14:36:06.0"
"-4","VISCODE","ADNIMERGE","Key ADNI tables merged into one table","-4","Visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4.0","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2013-01-22 14:36:06.0"
" ","D1"," "," "," ","Denotes whether participant belongs to dataset D1"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
" ","D2"," "," "," ","Denotes whether participant belongs to dataset D2"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
" ","DXCHANGE"," "," "," ","1=Stable:NL to NL, 2=Stable:MCI to MCI, 3=Stable:AD to AD, 4=Conv:NL to MCI, 5=Conv:MCI to AD, 6=Conv:NL to AD, 7=Rev:MCI to NL, 8=Rev:AD to MCI, 9=Rev:AD to NL, -1=Not available"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"-4","SITE","ADNIMERGE","Key ADNI tables merged into one table","-4","Site","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4.0","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2013-01-22 14:36:06.0"
"-4","COLPROT","ADNIMERGE","Key ADNI tables merged into one table","-4","Protocol under which data was collected","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4.0","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2013-01-22 14:36:06.0"
"-4","ORIGPROT","ADNIMERGE","Key ADNI tables merged into one table","-4","Protocol from which subject originated","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4.0","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2013-01-22 14:36:06.0"
"-4","EXAMDATE","ADNIMERGE","Key ADNI tables merged into one table","-4","Examination Date","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","From registry table","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2013-01-22 14:36:06.0"
"-4","DX_bl","ADNIMERGE","Key ADNI tables merged into one table","-4","Baseline Dx","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","From studysum table","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2013-01-22 14:36:06.0"
"-4","AGE","ADNIMERGE","Key ADNI tables merged into one table","-4","Age at baseline","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","From ptdemog table","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2013-01-22 14:36:06.0"
